entity,political_lean,rank_change,total_engagements,engagements_change,posts,avg_engagements,total_views,Non_Twitter_Views,platforms
Whitney Roberts,Left-Leaning,-82,40573,-60435,27,1503,169063,169063,[TikTok](https://www.tiktok.com/@thewokemama)
Sarah McBride,Left-Leaning,26,40408,472,13,3108,250529,250529,[TikTok](https://www.tiktok.com/@sarahemcbride)
CJ Pearson,Right-Leaning,115,39690,23418,9,4410,341975,341975,[TikTok](https://tiktok.com/@thecjpearson)
Grace Unfiltered,Right-Leaning,299,39519,37504,2,19760,432100,432100,[TikTok](https://www.tiktok.com/@_thatonefitguy92)
Kristofer Goldsmith,Left-Leaning,107,39406,21933,9,4378,254360,254360,[TikTok](https://www.tiktok.com/@krisgoldsmith85)
Clarkson Lawson,Right-Leaning,-257,39246,-398103,6,6541,356290,356290,[TikTok](https://tiktok.com/@clarksonlawson)
ACLU,Left-Leaning,-103,38862,-72257,22,1766,223599,223599,[TikTok](https://www.tiktok.com/@aclu)
Jessica Valenti,Left-Leaning,-55,38700,-38648,6,6450,126700,126700,[TikTok](https://www.tiktok.com/@auntiekilljoy)
AB Burns-Tucker,Left-Leaning,0,38494,-8699,17,2264,174516,174516,[TikTok](https://www.tiktok.com/@iamlegallyhype)
Craig Long,Right-Leaning,-62,38468,-42042,39,986,265385,265385,[TikTok](https://tiktok.com/@craiglong45)
Jay Jay Ghatt,Left-Leaning,,38100,,2,19050,137877,137877,[TikTok](https://www.tiktok.com/@jayjayglegal)
Nigel Farage,Right-Leaning,251,38047,34478,4,9512,372000,372000,[TikTok](https://www.tiktok.com/@nigel_farage)
The Salt Lake Tribune,Neutral,252,37952,34636,6,6325,271333,271333,[TikTok](https://www.tiktok.com/@sltrib)
D.A.R.Y.L.2.0,Left-Leaning,-121,37682,-78267,112,336,321755,321755,[TikTok](https://tiktok.com/@d.a.r.y.l.2.0)
Haleeyy,Right-Leaning,-157,36329,-108757,18,2018,201234,201234,[TikTok](https://www.tiktok.com/@__haleeyy)
Trae Crowder,Left-Leaning,4,36298,-6218,5,7260,157244,157244,[TikTok](https://tiktok.com/@traecrowder)
Alex Cascio,Left-Leaning,2,36136,-6513,18,2008,274595,274595,[TikTok](https://www.tiktok.com/@casalmon)
Zohare,Left-Leaning,-35,36069,-21787,52,694,287870,287870,[TikTok](https://www.tiktok.com/@rudaleh/video/7550406316120902925)
Brad Polumbo,Right-Leaning,31,35830,1830,6,5972,226075,226075,[TikTok](https://www.tiktok.com/@bradpolumbo0)
Monte Mader,Left-Leaning,5,35766,-5021,21,1703,133985,133985,[TikTok](https://www.tiktok.com/@montemader)
Kristan Hawkins,Right-Leaning,-54,35230,-31087,4,8808,211901,211901,[TikTok](https://www.tiktok.com/@kristanmercerhawkins)
