entity,political_lean,rank_change,total_engagements,engagements_change,posts,avg_engagements,total_views,Non_Twitter_Views,platforms
Matt Gordon,Left-Leaning,119,246601,190876,25,9864,1540800,1540800,[TikTok](https://www.tiktok.com/@usmcangryveteran)
Heidy Torres,Left-Leaning,78,243686,116703,53,4598,5088185,5088185,[TikTok](https://tiktok.com/@heidytorr)
Just Wayne,Left-Leaning,-15,241755,-335868,76,3181,1428810,1428810,[TikTok](https://www.tiktok.com/@justwaynecreative)
CSPAN,Neutral,149,241730,212859,16,15108,6176371,6176371,[TikTok](https://tiktok.com/@cspanofficial)
WFF News,Right-Leaning,-22,239861,-417889,27,8884,3212108,3212108,[TikTok](https://tiktok.com/@wffnews)
UKUSpolitics,Left-Leaning,-14,238768,-297702,34,7023,2016265,2016265,[TikTok](https://tiktok.com/@ukuspolitics)
Forbes,Neutral,0,237959,-150611,43,5534,5392941,5392941,[TikTok](https://www.tiktok.com/@forbes)
Chris Mowrey,Left-Leaning,-23,236087,-409015,24,9837,1535078,1535078,[TikTok](https://www.tiktok.com/@chrisdmowrey)
Jess Craven,Left-Leaning,19,233007,-71915,25,9320,1102102,1102102,[TikTok](https://tiktok.com/@jesscraven101)
Mark Kaye,Right-Leaning,-65,232325,-1242850,17,13666,3467013,3467013,[TikTok](https://www.tiktok.com/@mark.kaye.show)
Daria Rose,Left-Leaning,108,218750,162273,8,27344,2726887,2726887,[TikTok](https://www.tiktok.com/@dariarosereal)
Conscious Lee - George Lee Jr,Left-Leaning,19,218107,-77982,55,3966,1332347,1332347,[TikTok](https://tiktok.com/@theconsciouslee)
Brett Cooper,Right-Leaning,256,205997,203701,4,51499,2070393,2070393,[TikTok](https://tiktok.com/@brettcooper_)
