entity,political_lean,rank_change,total_engagements,engagements_change,posts,avg_engagements,total_views,Non_Twitter_Views,platforms
Drinkable Bryan,Left-Leaning,71,322414,156791,10,32241,1344722,1344722,[TikTok](https://www.tiktok.com/@drinkablebryan)
Alexis and Dean,Neutral,-141,321913,-1095686,31,10384,5770443,5770443,[TikTok](https://www.tiktok.com/@alexisanddean)
James Talarico,Left-Leaning,-203,316331,-4330686,23,13754,1794351,1794351,"[TikTok](https://www.tiktok.com/@teamtalaricohq), [TikTok](https://www.tiktok.com/@jamestalarico)"
Protect Our Care,Left-Leaning,285,315807,286213,37,8535,1979143,1979143,[TikTok](https://tiktok.com/@protectourcare)
James Ray (jamesgetpolitical),Left-Leaning,-55,314125,-149467,32,9816,1249935,1249935,[TikTok](https://www.tiktok.com/@jamesgetspolitical)
James Ray,Left-Leaning,-55,314125,-149467,32,9816,1249935,1249935,[TikTok](https://tiktok.com/@jamesgetspolitical)
Dash Dobrofsky,Left-Leaning,,313837,,10,31384,1812827,1812827,[TikTok](https://www.tiktok.com/@dashdobrofsky)
rationalboomer,Left-Leaning,-26,309445,-24061,202,1532,2584068,2584068,[TikTok](https://www.tiktok.com/@rationalboomer)
CAP Action,Left-Leaning,37,305486,98025,13,23499,1939219,1939219,[TikTok](https://tiktok.com/@fightforprogress)
Brett Cooper,Right-Leaning,119,304902,203797,19,16047,2905302,2905302,[TikTok](https://tiktok.com/@brettcooper_)
Rachel Scott,Neutral,353,304778,289457,18,16932,2980839,2980839,[TikTok](https://www.tiktok.com/@itsrachelscott)
Michael Foote,Left-Leaning,-178,301916,-1926652,32,9435,1378539,1378539,[TikTok](https://www.tiktok.com/@michael_foote_)
Ian Lightfoot,Left-Leaning,71,298281,147967,34,8773,1252133,1252133,[TikTok](https://www.tiktok.com/@ianllightfoot)
ACLU,Left-Leaning,64,296480,137929,59,5025,2028611,2028611,[TikTok](https://www.tiktok.com/@aclu)
Ronan Farrow,Neutral,,293090,,3,97697,1942988,1942988,[TikTok](https://www.tiktok.com/@theronanfarrow)
Patrick Bet-David,Right-Leaning,-90,289523,-289105,96,3016,5617970,5617970,[TikTok](https://www.tiktok.com/@patrickbetdavid)
