entity,political_lean,rank_change,total_engagements,engagements_change,posts,avg_engagements,total_views,Non_Twitter_Views,platforms
Matt Walsh,Right-Leaning,-139,90938,-52957,51,1783,1206882,1206882,[TikTok](https://www.tiktok.com/@mattwalsh_)
Trae Crowder,Left-Leaning,100,89832,73932,8,11229,475211,475211,[TikTok](https://tiktok.com/@traecrowder)
Joy-Ann Reid,Left-Leaning,-293,89380,-482375,15,5959,509368,509368,[TikTok](https://www.tiktok.com/@joyreidofficial)
TL Duryea,Left-Leaning,100,88395,72644,89,993,2907595,2907595,[TikTok](https://tiktok.com/@tduryea)
AB Burns-Tucker,Left-Leaning,46,87788,60786,16,5487,490918,490918,[TikTok](https://www.tiktok.com/@iamlegallyhype)
News 4 San Antonio (WOAI/KABB NBC/Fox),Neutral,440,87373,87265,19,4599,732172,732172,[TikTok](https://www.tiktok.com/@news4sa)
Jodi Picoult,Left-Leaning,3,86556,48346,15,5770,489164,489164,[TikTok](https://www.tiktok.com/@jodipicoult)
Graham Platner,Left-Leaning,38,85393,58034,55,1553,661374,661374,[TikTok](https://www.tiktok.com/@grahamformaine)
Jack Schlossberg,Left-Leaning,-30,84266,34324,2,42133,446254,446254,[TikTok](https://www.tiktok.com/@jack.schlossberg)
Front Porch Daily,Left-Leaning,,81620,,1,81620,334643,334643,[TikTok](https://www.tiktok.com/@frontporchdaily)
Hakeem Jeffries,Left-Leaning,-46,81547,26378,16,5097,877150,877150,[TikTok](https://www.tiktok.com/@leaderjeffries)
Fox Nation,Right-Leaning,105,80891,67403,41,1973,1471869,1471869,[TikTok](https://www.tiktok.com/@foxnation)
Brooker Tee Jones,Right-Leaning,-190,80679,-121684,23,3508,752387,752387,[TikTok](https://www.tiktok.com/@brookerteejones)
Good Vibes USA,Left-Leaning,390,80673,80396,13,6206,742126,742126,[TikTok](https://www.tiktok.com/@goodvibesusaa)
Zak Kimball,Left-Leaning,160,80036,72553,3,26679,1121908,1121908,[TikTok](https://www.tiktok.com/@zak.kimball)
King 5 Seattle,Neutral,,79048,,3,26349,1116460,1116460,[TikTok](https://www.tiktok.com/@king5news)
Kat Blaque,Left-Leaning,-120,78996,-13838,85,929,646577,646577,[TikTok](https://www.tiktok.com/@katblaque)
Call to Activism,Left-Leaning,47,78829,55962,14,5631,2804329,2804329,[TikTok](https://www.tiktok.com/@calltoactivism)
Kenny Walden - 2rawtooreal,Left-Leaning,-68,78638,16886,25,3146,298272,298272,[TikTok](https://www.tiktok.com/@2rawtooreal2)
Victor Nieves,Right-Leaning,108,77887,66083,23,3386,539599,539599,[TikTok](https://www.tiktok.com/@notvictornieves)
Kd Maga,Right-Leaning,-90,77595,6089,9,8622,611880,611880,[TikTok](https://www.tiktok.com/@kaelandorr)
Haley Lickstein,Left-Leaning,152,77264,69611,65,1189,332329,332329,[TikTok](https://www.tiktok.com/@haleylickstein)
The Kansas City Star,Neutral,51,76999,56060,14,5500,513923,513923,[TikTok](https://www.tiktok.com/@thekansascitystar)
Therealkalifontanilla,Right-Leaning,142,76571,68269,49,1563,783862,783862,[TikTok](https://www.tiktok.com/@therealkalifontanilla)
Scroll Dis,Left-Leaning,10,76566,46542,26,2945,1149555,1149555,[TikTok](https://www.tiktok.com/@scrolldis?lang=en)
11Alive,Neutral,-69,76167,16294,37,2059,664583,664583,[TikTok](https://www.tiktok.com/@11alivenews)
Grandson,Left-Leaning,-105,75028,-958,11,6821,361717,361717,[TikTok](https://www.tiktok.com/@grandson)
Davidson Boswell,Left-Leaning,-191,73627,-101912,19,3875,406952,406952,[TikTok](https://www.tiktok.com/@davidsonboswell)
Michael Mezz,Left-Leaning,68,73335,56658,16,4583,388718,388718,[TikTok](https://tiktok.com/@michael_mezz)
Michael Solakiewicz,Right-Leaning,-66,71889,15475,64,1123,3453224,3453224,[TikTok](https://www.tiktok.com/@michaelsolakiewicz)
Tiffany Cianci,Neutral,123,70769,61666,3,23590,596912,596912,[TikTok](https://tiktok.com/@tiffanycianci)
Chicks On The Right,Right-Leaning,-51,70436,20937,43,1638,416722,416722,[TikTok](https://tiktok.com/@chicksonright)
Distill Social,Left-Leaning,-22,69981,32173,70,1000,571607,571607,[TikTok](https://www.tiktok.com/@distillsocial)
Eloise (cheeringforchange),Left-Leaning,-5,69894,39046,17,4111,253401,253401,[TikTok](https://www.tiktok.com/@cheeringforchange)
Long Island Audit,Right-Leaning,,68381,,22,3108,1459662,1459662,[TikTok](https://www.tiktok.com/@longislandaudit)
The Lincoln Project,Left-Leaning,-161,68176,-60472,20,3409,573088,573088,[TikTok](https://www.tiktok.com/@thelincolnproject)
R. M. S. Thornton,Neutral,,67963,,2,33982,543971,543971,[TikTok](https://www.tiktok.com/@rmsthornton)
Johnny Harris,Left-Leaning,86,67519,55251,6,11253,560871,560871,[TikTok](https://www.tiktok.com/@johnny.harris)
NRDC,Left-Leaning,178,65928,61509,4,16482,168040,168040,[TikTok](https://tiktok.com/@nrdc.org)
Kali Fontanilla,Right-Leaning,-8,65117,34426,39,1670,318454,318454,[TikTok](https://tiktok.com/@kaliwillnotbecensored)
Gregory Pittman,Left-Leaning,,63690,,4,15923,434912,434912,[TikTok](https://www.tiktok.com/@greg_the_uberdriver2)
Jessica (Ka) Burbank,Left-Leaning,98,63674,53430,17,3746,443387,443387,[TikTok](https://tiktok.com/@kaburbank)
Quentin R. Jiles,Left-Leaning,90,63655,52654,9,7073,600297,600297,[TikTok](https://www.tiktok.com/@quentinjiles)
Paola Ramos,Left-Leaning,-174,63515,-68328,5,12703,386779,386779,[TikTok](https://www.tiktok.com/@pa0ram0s)
Bojack Daily,Left-Leaning,308,63080,62407,12,5257,341557,341557,[TikTok](https://www.tiktok.com/@bojackdaily)
Dave Bondy,Right-Leaning,-30,62166,26230,41,1516,764945,764945,[TikTok](https://www.tiktok.com/@davebondy)
Hypocrisy Hammer,Left-Leaning,264,60988,59543,42,1452,1374901,1374901,[TikTok](https://www.tiktok.com/@hypocrisyhammer)
Jamira Burley,Left-Leaning,-15,60930,30377,34,1792,334276,334276,[TikTok](https://tiktok.com/@jawnontheinternet)
Malynda Hale,Left-Leaning,263,60341,58917,28,2155,251214,251214,[TikTok](https://www.tiktok.com/@malyndahaleofficial)
Damani Bryant Felder,Right-Leaning,166,60011,55519,12,5001,603593,603593,[TikTok](https://www.tiktok.com/@thedamanifelder)
AARP,Left-Leaning,155,59944,54974,9,6660,1963501,1963501,[TikTok](https://tiktok.com/@aarp)
Informed It Girls,Left-Leaning,-108,59421,-6621,4,14855,1217994,1217994,[TikTok](https://www.tiktok.com/@informed.it.girls)
CBS News Bay Area,Neutral,-359,59380,-583165,23,2582,1113399,1113399,[TikTok](https://www.tiktok.com/@kpixtv)
Inquirher,Left-Leaning,182,59204,55471,23,2574,299572,299572,[TikTok](https://www.tiktok.com/@inquirher)
Rachel Gilmore,Left-Leaning,-93,58608,1045,20,2930,396085,396085,[TikTok](https://www.tiktok.com/@rachel_gilmore)
Mother Jones,Left-Leaning,168,58463,54454,48,1218,632845,632845,[TikTok](https://www.tiktok.com/@motherjonesmag)
